Year,Personal income,Wages and salaries,Compensation of employees,Supplements to wages and salaries,Proprietors' income with inventory valuation and capital consumption adjustments,Rental income of persons with capital consumption adjustment,Personal interest income,Personal dividend income,Personal current transfer receipts,Government social benefits to persons,Social security,Medicare,Medicaid,Unemployment insurance,Personal current taxes,Disposable personal income,Personal consumption expenditures,Personal saving,Personal saving as a percentage of disposable personal income,Gross domestic product,Personal consumption expenditures,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Government consumption expenditures and gross investment
1976,"1,502,647","899,745","1,048,347","148,602","130,974","20,308","181,044","38,971","184,337","177,643","74,501","18,795","15,457","16,386","172,671","1,329,976","1,147,666","154,386",12,"1,873,412","1,147,666","168,624","377,680","26,514","323,224","306,109","404,153"
1977,"1,659,236","994,158","1,165,825","171,667","144,492","15,867","206,851","44,723","194,572","189,482","83,239","22,101","16,737","13,129","197,879","1,461,357","1,273,975","155,947",11,"2,081,826","1,273,975","191,963","408,421","29,814","396,613","374,289","434,331"
1978,"1,863,721","1,120,570","1,316,765","196,195","165,974","16,545","235,079","50,728","209,890","203,427","91,380","25,543","18,619","9,417","229,649","1,634,072","1,422,252","175,066",11,"2,351,599","1,422,252","213,348","450,218","34,840","478,377","452,586","476,336"
1979,"2,082,709","1,253,314","1,477,231","223,917","179,438","16,093","269,481","57,657","235,559","227,334","102,581","29,936","21,067","9,692","268,913","1,813,796","1,585,420","186,825",10,"2,627,333","1,585,420","226,340","511,598","39,887","539,657","521,673","524,802"
1980,"2,324,458","1,373,422","1,622,247","248,826","171,569","18,978","333,527","64,196","280,128","271,498","118,586","36,201","23,855","16,097","299,512","2,024,946","1,750,667","224,894",11,"2,857,307","1,750,667","226,391","573,402","45,258","530,098","536,430","589,598"
1981,"2,603,200","1,511,373","1,792,525","281,152","179,680","23,780","414,198","69,733","318,984","307,809","138,644","43,499","27,746","15,885","345,780","2,257,420","1,933,951","263,555",12,"3,207,041","1,933,951","243,938","625,430","49,944","631,229","601,420","654,381"
1982,"2,789,461","1,587,517","1,892,983","305,465","171,191","23,833","481,759","73,124","355,465","343,079","153,708","50,927","30,159","25,227","354,743","2,434,718","2,071,256","291,199",12,"3,343,789","2,071,256","253,032","646,258","52,642","581,034","595,947","711,473"
1983,"2,981,716","1,677,513","2,012,489","334,976","186,250","24,435","518,213","81,986","384,295","370,499","164,426","57,797","33,871","26,411","352,879","2,628,837","2,281,605","264,677",10,"3,634,038","2,281,605","295,031","678,753","55,961","637,518","643,269","766,557"
1984,"3,288,674","1,844,915","2,215,872","370,957","228,247","24,652","590,927","85,810","400,636","380,909","173,027","64,748","36,572","15,991","377,916","2,910,758","2,492,340","326,307",11,"4,037,613","2,492,340","342,156","721,545","68,791","820,089","754,684","827,910"
1985,"3,522,893","1,982,550","2,387,324","404,774","241,051","26,204","630,517","93,794","425,372","403,112","183,275","69,720","39,673","15,861","417,813","3,105,080","2,712,830","282,942",9,"4,338,979","2,712,830","380,365","757,244","73,934","829,650","807,826","910,516"
1986,"3,731,193","2,102,335","2,542,063","439,729","256,479","18,268","663,145","103,121","451,555","428,607","193,631","75,269","43,645","16,467","437,806","3,293,387","2,886,278","288,712",9,"4,579,631","2,886,278","421,439","774,188","82,861","849,146","842,575","976,076"
1987,"3,946,806","2,256,267","2,722,405","466,139","286,468","16,594","674,343","101,967","468,141","447,913","200,995","81,585","47,836","14,625","489,587","3,457,219","3,076,279","260,590",8,"4,855,215","3,076,279","442,022","814,275","93,945","892,176","865,027","1,031,530"
1988,"4,280,021","2,439,782","2,947,987","508,205","325,524","22,492","720,069","127,971","497,460","476,864","213,916","86,289","53,027","13,328","505,939","3,774,082","3,330,012","317,112",8,"5,236,438","3,330,012","475,053","862,256","101,869","936,963","918,481","1,078,855"
1989,"4,621,012","2,583,051","3,139,601","556,550","341,130","21,524","802,260","157,486","544,241","521,070","227,380","98,175","60,838","14,410","567,735","4,053,277","3,576,758","335,417",8,"5,641,580","3,576,758","494,330","929,475","106,239","999,701","972,008","1,151,862"
1990,"4,913,303","2,741,199","3,340,373","599,175","353,154","28,168","835,131","169,718","596,867","574,674","244,135","107,638","73,144","18,162","594,668","4,318,635","3,808,994","360,635",8,"5,963,144","3,808,994","497,079","994,222","121,657","993,448","978,903","1,238,556"
1991,"5,089,913","2,814,478","3,450,516","636,038","354,162","38,577","827,689","181,009","668,143","650,507","264,204","117,487","96,911","26,787","588,901","4,501,012","3,943,449","400,964",9,"6,158,129","3,943,449","477,183","1,020,252","122,824","944,344","944,738","1,298,951"
1992,"5,417,494","2,965,541","3,668,246","702,705","400,155","60,573","806,166","189,268","748,037","731,750","281,776","132,596","116,248","39,617","612,802","4,804,692","4,197,559","450,497",9,"6,520,327","4,197,559","508,081","1,055,186","122,864","1,013,006","996,678","1,344,500"
1993,"5,652,865","3,079,340","3,817,290","737,949","427,984","90,079","796,828","205,120","792,989","778,935","297,935","146,785","130,104","34,848","648,754","5,004,111","4,451,984","392,588",8,"6,858,559","4,451,984","551,532","1,090,814","127,212","1,106,826","1,086,012","1,364,922"
1994,"5,940,921","3,236,589","4,006,192","769,603","456,644","113,667","806,304","237,331","828,963","815,708","312,161","164,423","139,429","23,942","693,073","5,247,849","4,720,965","357,200",7,"7,287,236","4,720,965","607,171","1,139,382","136,612","1,256,484","1,192,700","1,402,274"
1995,"6,283,359","3,418,022","4,198,088","780,066","481,186","124,882","869,355","259,194","883,455","864,727","327,675","181,220","149,570","21,734","748,407","5,534,953","4,962,590","379,040",7,"7,639,749","4,962,590","635,738","1,179,795","145,123","1,317,489","1,286,316","1,449,431"
1996,"6,666,199","3,616,469","4,416,942","800,473","543,784","142,528","886,403","302,416","929,203","906,325","342,005","194,868","158,188","22,274","837,084","5,829,114","5,244,596","369,937",6,"8,073,122","5,244,596","676,295","1,241,376","156,518","1,432,055","1,401,255","1,492,848"
1997,"7,073,974","3,876,844","4,708,818","831,974","583,958","147,059","928,763","337,753","954,864","935,418","356,592","206,917","163,124","20,103","931,821","6,142,153","5,536,790","371,763",6,"8,577,552","5,536,790","715,530","1,290,976","170,120","1,595,600","1,524,674","1,547,133"
1998,"7,588,358","4,181,616","5,071,138","889,522","640,276","165,206","994,038","358,440","983,911","957,915","369,182","205,558","170,195","19,693","1,032,421","6,555,937","5,877,248","424,588",6,"9,062,817","5,877,248","779,293","1,329,146","184,939","1,736,671","1,672,952","1,611,609"
1999,"7,978,599","4,457,926","5,402,682","944,757","696,352","178,497","987,717","348,461","1,026,175","992,202","379,864","208,736","184,555","20,509","1,111,914","6,866,685","6,283,758","315,819",5,"9,631,172","6,283,758","855,568","1,431,493","201,251","1,887,059","1,826,243","1,719,905"
2000,"8,621,299","4,824,946","5,847,146","1,022,200","753,559","183,476","1,069,278","386,370","1,087,311","1,044,876","401,393","219,117","199,493","20,741","1,236,329","7,384,970","6,767,179","316,823",4,"10,250,952","6,767,179","912,572","1,540,600","226,011","2,038,408","1,983,864","1,826,438"
2001,"8,993,143","4,953,635","6,038,348","1,084,714","831,057","202,403","1,087,525","374,410","1,192,597","1,145,830","425,084","242,580","227,259","31,899","1,239,047","7,754,096","7,073,801","363,156",5,"10,581,929","7,073,801","941,515","1,584,078","227,371","1,934,842","1,973,126","1,950,034"
2002,"9,150,049","4,995,843","6,135,115","1,139,272","870,133","208,448","1,001,156","401,476","1,285,216","1,251,022","446,909","259,736","250,009","53,480","1,052,178","8,097,871","7,348,941","451,596",6,"10,929,108","7,348,941","985,368","1,613,437","238,872","1,930,417","1,910,443","2,089,495"
2003,"9,481,755","5,138,269","6,353,606","1,215,337","897,509","227,098","1,004,371","431,198","1,347,256","1,320,994","463,531","276,708","264,526","53,175","1,003,538","8,478,217","7,740,749","439,894",5,"11,456,450","7,740,749","1,017,801","1,704,797","258,084","2,027,056","2,012,961","2,210,600"
2004,"10,015,873","5,421,014","6,719,488","1,298,474","962,895","242,781","939,342","559,365","1,421,242","1,404,471","485,512","304,359","289,812","36,425","1,048,745","8,967,128","8,231,960","417,049",5,"12,217,196","8,231,960","1,080,574","1,821,447","296,883","2,281,253","2,217,186","2,338,123"
2005,"10,546,102","5,691,379","7,066,107","1,374,728","979,140","221,105","1,081,326","555,028","1,516,743","1,490,917","512,728","332,127","304,414","31,775","1,212,456","9,333,646","8,769,066","209,175",2,"13,039,197","8,769,066","1,128,610","1,954,313","318,732","2,534,720","2,477,207","2,475,313"
2006,"11,301,996","6,056,739","7,479,676","1,422,938","1,050,869","181,120","1,215,446","683,580","1,613,843","1,593,029","544,096","399,107","299,100","30,366","1,356,963","9,945,033","9,277,236","275,950",3,"13,815,583","9,277,236","1,158,333","2,081,322","355,983","2,700,954","2,631,965","2,623,846"
2007,"11,932,119","6,396,392","7,878,475","1,482,083","995,398","186,259","1,325,248","780,055","1,728,094","1,697,335","575,653","428,201","324,189","32,740","1,492,489","10,439,630","9,746,594","263,425",2,"14,474,228","9,746,594","1,188,043","2,178,988","392,507","2,673,011","2,639,060","2,790,556"
2008,"12,425,679","6,534,095","8,056,826","1,522,730","960,304","290,275","1,345,849","805,670","1,955,114","1,919,349","605,542","461,613","338,333","51,148","1,507,501","10,918,179","10,050,083","451,473",4,"14,769,862","10,050,083","1,098,761","2,264,460","427,472","2,477,613","2,506,855","2,983,035"
2009,"12,065,682","6,249,110","7,759,019","1,509,910","938,126","347,592","1,272,829","565,642","2,146,744","2,107,728","664,470","492,951","369,610","131,211","1,152,378","10,913,304","9,891,218","624,938",6,"14,478,067","9,891,218","1,012,121","2,167,901","413,812","1,929,664","2,080,435","3,076,338"
2010,"12,556,628","6,372,510","7,925,369","1,552,859","1,108,503","433,671","1,211,054","536,625","2,325,153","2,281,411","690,174","513,390","396,868","138,857","1,237,620","11,319,008","10,260,256","671,425",6,"15,048,971","10,260,256","1,048,962","2,268,862","442,512","2,165,473","2,111,555","3,155,551"
2011,"13,309,571","6,626,182","8,226,175","1,599,993","1,228,337","506,541","1,216,066","690,419","2,358,685","2,310,139","713,261","535,609","406,022","107,163","1,453,691","11,855,880","10,698,857","776,284",6,"15,599,732","10,698,857","1,093,499","2,424,622","464,349","2,332,562","2,286,300","3,147,929"
2012,"13,917,794","6,928,124","8,567,363","1,639,238","1,299,922","534,468","1,271,809","831,742","2,363,017","2,322,586","762,139","554,746","417,539","83,615","1,509,514","12,408,280","11,047,363","976,525",8,"16,253,970","11,047,363","1,144,221","2,493,518","476,052","2,621,754","2,550,542","3,136,471"
2013,"14,068,770","7,113,994","8,835,039","1,721,044","1,351,739","578,687","1,201,595","781,648","2,424,348","2,385,910","799,044","572,843","439,983","62,499","1,677,535","12,391,235","11,388,233","615,697",5,"16,880,683","11,388,233","1,191,786","2,550,398","472,487","2,838,327","2,732,850","3,132,576"
2014,"14,784,074","7,476,332","9,250,208","1,773,876","1,369,965","598,502","1,260,374","917,027","2,541,550","2,498,625","834,640","600,007","490,872","35,463","1,785,680","12,998,394","11,874,450","711,996",6,"17,608,138","11,874,450","1,247,260","2,639,317","498,132","3,073,981","2,989,189","3,168,607"
2015,"15,473,741","7,859,482","9,699,419","1,839,937","1,347,722","601,351","1,347,722","996,868","2,685,407","2,635,146","871,793","634,939","535,913","32,545","1,940,888","13,532,854","12,297,438","790,573",6,"18,295,019","12,297,438","1,315,794","2,639,336","505,351","3,288,481","3,148,359","3,233,420"
2016,"15,887,651","8,091,239","9,966,108","1,874,870","1,349,214","618,723","1,387,973","1,027,446","2,777,022","2,717,282","896,472","662,108","562,783","32,038","1,958,752","13,928,899","12,726,849","746,198",5,"18,804,913","12,726,849","1,356,495","2,676,541","520,134","3,278,305","3,239,237","3,303,031"
2017,"16,662,756","8,474,410","10,424,372","1,949,962","1,428,634","642,028","1,466,672","1,144,294","2,855,685","2,807,432","926,072","691,829","573,731","30,186","2,048,829","14,613,927","13,290,626","841,646",6,"19,612,102","13,290,626","1,415,911","2,796,304","561,688","3,467,664","3,434,990","3,397,141"
2018,"17,528,192","8,899,824","10,957,404","2,057,580","1,495,331","671,488","1,554,473","1,234,903","2,976,276","2,925,973","972,412","733,569","589,766","27,618","2,074,153","15,454,039","13,934,442","996,655",6,"20,656,516","13,934,442","1,488,831","2,925,377","572,116","3,724,770","3,668,362","3,590,381"
2019,"18,363,160","9,325,144","11,446,611","2,121,468","1,555,775","688,432","1,603,518","1,346,503","3,147,101","3,090,760","1,030,743","790,499","614,035","27,477","2,198,663","16,164,498","14,437,543","1,178,158",7,"21,539,982","14,437,543","1,523,644","3,009,173","599,995","3,893,734","3,820,778","3,785,995"
2020,"19,631,652","9,465,343","11,598,138","2,132,796","1,599,507","743,428","1,505,907","1,399,070","4,235,181","4,187,512","1,077,928","827,397","657,580","527,988","2,248,223","17,383,429","14,231,353","2,661,768",15,"21,375,281","14,231,353","1,621,700","3,086,925","477,298","3,763,386","3,793,858","3,999,096"
2021,"21,498,910","10,314,974","12,558,374","2,243,400","1,818,662","776,719","1,472,807","1,771,449","4,660,198","4,566,711","1,114,600","886,270","736,482","314,920","2,698,006","18,800,904","16,119,682","2,177,188",12,"23,725,645","16,119,682","1,991,864","3,507,581","578,326","4,246,545","4,219,673","4,208,652"
2022,"22,153,803","11,122,769","13,443,377","2,320,608","1,868,919","871,106","1,572,851","1,961,748","4,139,640","4,012,998","1,211,504","942,430","814,348","23,796","3,243,285","18,910,518","17,690,013","632,923",3,"26,054,614","17,690,013","2,077,929","3,860,738","717,429","4,844,333","4,663,096","4,458,157"
2023,"23,585,016","11,732,410","14,207,393","2,474,983","1,941,958","1,002,484","1,829,749","2,147,385","4,256,694","4,150,561","1,356,973","1,024,835","878,171","33,305","2,835,743","20,749,273","18,833,150","1,159,240",6,"27,811,517","18,833,150","2,141,043","3,974,623","767,287","5,023,712","4,970,003","4,741,151"
2024,"24,905,900","12,387,929","15,027,059","2,639,130","2,023,080","1,078,149","1,926,644","2,218,700","4,555,419","4,455,695","1,447,965","1,102,358","938,191","36,468","2,988,243","21,917,657","19,896,009","1,193,230",5,"29,298,013","19,896,009","2,178,085","4,083,445","846,519","5,259,320","5,205,774","5,041,143"
2025,"26,119,014","12,975,560","15,744,982","2,769,422","2,109,372","1,114,603","1,967,965","2,248,385","4,955,030","4,848,209","1,572,775","1,221,275","1,013,277","37,959","3,236,577","22,882,437","20,956,035","1,061,471",5,"30,767,088","20,956,035","2,265,166","4,243,047","895,867","5,462,712","5,444,840","5,274,504"
